query_id,state,county,difficulty,question,found_in_top5,rank,chunk_coverage,golden_section,retrieved_section,retrieved_section_1,retrieved_section_2,retrieved_section_3,retrieved_section_4,retrieved_section_5,golden_chunk,retrieved_chunk,golden_penalty_fine,retrieved_penalty_fine,penalty_fine_correct,golden_prohibition,retrieved_prohibition,prohibition_correct,golden_obligation,retrieved_obligation,obligation_correct,golden_permission,retrieved_permission,permission_correct,metadata_accuracy,llm_reasoning
0,CA,Alameda,Easy,Are dogs allowed to run in public space?,True,1,1.0,5.08.010 - Running at large prohibited.,5.08.010. Running at large prohibited.,5.08.010. Running at large prohibited.,5.08.090. Animals in vehicles.,5.16.020. Exemptions.,5.20.080. Cost of impoundment.,5.36.020. Stray animals.,"No owner or keeper of a dog shall allow or permit such dog, whether licensed or unlicensed, to be or run at large in or upon any public place or premises, or in or upon any private place or premises other than those of said owner or keeper except with the consent of the person in charge of said private place or premises, unless such dog is securely restrained by a substantial leash not to exceed six feet in length and is in charge and control of a person competent to keep such dog under effective charge and control; provided however, nothing in this section shall prevent a dog from being used without leash to hunt wild birds or game or to herd, guard, gather, or otherwise work domestic animals or fowls in or upon a public place or premises so long as such dog is under the charge and control of a person competent to keep such dog under effective charge and control and so long as such dog does not wrongfully harm or damage or threaten to harm or damage any person or public or private property. For purposes of this section, any dog in or upon any vehicle shall be deemed to be on the premises of the operator thereof.","No owner or keeper of a dog shall allow or permit such dog, whether licensed or unlicensed, to be or run at large in or upon any public place or premises, or in or upon any private place or premises other than those of said owner or keeper except with the consent of the person in charge of said private place or premises, unless such dog is securely restrained by a substantial leash not to exceed six feet in length and is in charge and control of a person competent to keep such dog under effective charge and control; provided however, nothing in this section shall prevent a dog from being used without leash to hunt wild birds or game or to herd, guard, gather, or otherwise work domestic animals or fowls in or upon a public place or premises so long as such dog is under the charge and control of a person competent to keep such dog under effective charge and control and so long as such dog does not wrongfully harm or damage or threaten to harm or damage any person or public or private property. For purposes of this section, any dog in or upon any vehicle shall be deemed to be on the premises of the operator thereof.",False,False,True,True,False,False,True,False,False,False,False,True,0.5,"The retrieved chunks only mention Section 5.08.010 and 5.08.090, but do not contain the exact text from the golden truth section (5.08.010 - Running at large prohibited). The prohibitions and obligations are inferred from the text but are not explicitly stated in the retrieved chunks."
1,CA,Alameda,Easy,Can my dog roam freely on someone else’s private property?,True,1,1.0,5.08.010 - Running at large prohibited.,5.08.010. Running at large prohibited.,5.08.010. Running at large prohibited.,5.20.020. Vicious dog defined.,6.12.010. Drinking in parking lots.,5.08.070. Animals-Destruction of property.,5.08.060. Animals-Noise disturbances by.,"No owner or keeper of a dog shall allow or permit such dog, whether licensed or unlicensed, to be or run at large in or upon any public place or premises, or in or upon any private place or premises other than those of said owner or keeper except with the consent of the person in charge of said private place or premises, unless such dog is securely restrained by a substantial leash not to exceed six feet in length and is in charge and control of a person competent to keep such dog under effective charge and control; provided however, nothing in this section shall prevent a dog from being used without leash to hunt wild birds or game or to herd, guard, gather, or otherwise work domestic animals or fowls in or upon a public place or premises so long as such dog is under the charge and control of a person competent to keep such dog under effective charge and control and so long as such dog does not wrongfully harm or damage or threaten to harm or damage any person or public or private property. For purposes of this section, any dog in or upon any vehicle shall be deemed to be on the premises of the operator thereof.","No owner or keeper of a dog shall allow or permit such dog, whether licensed or unlicensed, to be or run at large in or upon any public place or premises, or in or upon any private place or premises other than those of said owner or keeper except with the consent of the person in charge of said private place or premises, unless such dog is securely restrained by a substantial leash not to exceed six feet in length and is in charge and control of a person competent to keep such dog under effective charge and control; provided however, nothing in this section shall prevent a dog from being used without leash to hunt wild birds or game or to herd, guard, gather, or otherwise work domestic animals or fowls in or upon a public place or premises so long as such dog is under the charge and control of a person competent to keep such dog under effective charge and control and so long as such dog does not wrongfully harm or damage or threaten to harm or damage any person or public or private property. For purposes of this section, any dog in or upon any vehicle shall be deemed to be on the premises of the operator thereof.",False,False,True,True,False,False,False,False,True,False,False,True,0.75,"No chunk contained the SAME SECTION and SAME TEXT as the golden truth section (5.08.010). The retrieved chunk only mentioned the section number but did not contain the exact text. The golden truth section prohibits roaming of dogs on private property without proper restraint, which is a 'prohibition' flag. However, the retrieved chunk did not contain this exact text, so the 'prohibition' flag in the golden metadata is not applicable here. The retrieved metadata flags are all false as the text does not describe monetary penalties, mandatory requirements, or granted permissions."
2,CA,Alameda,Easy,What happens if my dog breaks loose from a leash longer than six feet?,True,1,1.0,5.08.010 - Running at large prohibited.,5.08.010. Running at large prohibited.,5.08.010. Running at large prohibited.,5.04.020. Violation-Penalty.,5.20.080. Cost of impoundment.,5.24.070. Dog removed from kennel-License tag must be acquired.,5.08.060. Animals-Noise disturbances by.,"No owner or keeper of a dog shall allow or permit such dog, whether licensed or unlicensed, to be or run at large in or upon any public place or premises, or in or upon any private place or premises other than those of said owner or keeper except with the consent of the person in charge of said private place or premises, unless such dog is securely restrained by a substantial leash not to exceed six feet in length and is in charge and control of a person competent to keep such dog under effective charge and control; provided however, nothing in this section shall prevent a dog from being used without leash to hunt wild birds or game or to herd, guard, gather, or otherwise work domestic animals or fowls in or upon a public place or premises so long as such dog is under the charge and control of a person competent to keep such dog under effective charge and control and so long as such dog does not wrongfully harm or damage or threaten to harm or damage any person or public or private property. For purposes of this section, any dog in or upon any vehicle shall be deemed to be on the premises of the operator thereof.","No owner or keeper of a dog shall allow or permit such dog, whether licensed or unlicensed, to be or run at large in or upon any public place or premises, or in or upon any private place or premises other than those of said owner or keeper except with the consent of the person in charge of said private place or premises, unless such dog is securely restrained by a substantial leash not to exceed six feet in length and is in charge and control of a person competent to keep such dog under effective charge and control; provided however, nothing in this section shall prevent a dog from being used without leash to hunt wild birds or game or to herd, guard, gather, or otherwise work domestic animals or fowls in or upon a public place or premises so long as such dog is under the charge and control of a person competent to keep such dog under effective charge and control and so long as such dog does not wrongfully harm or damage or threaten to harm or damage any person or public or private property. For purposes of this section, any dog in or upon any vehicle shall be deemed to be on the premises of the operator thereof.",False,False,True,True,False,False,False,False,True,False,False,True,0.75,"The retrieved chunks only mention Section 5.08.010 but do not contain the exact text from the golden truth section. The text in the retrieved chunks is a section reference, not the actual law text. The golden truth section text is about 'Running at large prohibited' and includes specific conditions for exceptions. The retrieved chunks do not match the golden truth text, and none of the other sections (5.04.020, 5.20.080, 5.24.070, 5.08.060) contain the golden truth text."
3,CA,Alameda,Easy,What must an owner do if their dog bites someone?,False,0,0.0,5.08.020 - Biting animals to be quarantined.,,5.08.080. Biting or attacking-Infraction.,5.20.030. Investigation.,5.20.020. Vicious dog defined.,5.16.120. Display of license to veterinarian.,5.20.080. Cost of impoundment.,"Whenever it is shown that any dog or other animal has bitten any person or animals, or exhibits evidence of rabies, no owner or person having custody or possession thereof, upon order of the health officer, shall fail, refuse, or neglect to quarantine such animal and keep it tied up or confined as specified by the health officer for a period of ten days, or shall fail, refuse, or neglect to allow the health officer or his deputies to make an inspection or examination thereof at any time during said period. No such dog or animal shall be removed or released during the quarantine period without written permission of the health officer or his deputies. Unless otherwise specified by the health officer, such animals shall be confined in a shelter or veterinary hospital at the owner's expense.",,False,False,,False,False,,True,False,,False,False,,,"The retrieved chunks only mention Section 5.08.020 and 5.20.030, but do not contain the exact text from the golden truth section (5.08.020 - Biting animals to be quarantined). The section references in the retrieved chunks (5.08.080, 5.20.030, 5.20.020, 5.16.120, 5.20.080) do not match the section number of the golden truth section (5.08.020). The golden truth section imposes an obligation on the owner to quarantine the dog, but the retrieved chunks do not contain this exact text. The retrieved chunks do not describe monetary penalties, fines, or other punitive consequences, nor do they prohibit or grant permission for certain actions."
4,CA,Alameda,Easy,Who conducts the rabies test if a quarantined animal dies?,False,0,0.0,5.08.030 - Animals dying while under quarantine.,,5.16.120. Display of license to veterinarian.,5.20.030. Investigation.,5.16.050. Anti-rabies vaccination required.,5.08.140. Regulations.,5.28.060. Revocation and suspension.,The head of an animal dying while under quarantine shall be submitted to the laboratory of the health officer for examination for rabies.,,False,False,,False,False,,False,False,,False,False,,,"The golden truth section reference is 5.08.030, which is not present in any of the retrieved chunks. The text in the golden truth section is 'The head of an animal dying while under quarantine shall be submitted to the laboratory of the health officer for examination for rabies.' None of the retrieved chunks contain this exact text. The closest match is Chunk 1, which discusses the display of a license to a veterinarian, but it does not contain the same section number or the same text as the golden truth section."
5,CA,Alameda,Easy,What information must be included in the bite report?,False,0,0.0,5.08.040 - Knowledge of bite—Duty to report.,,,,,,,"Whenever any person having charge, care, control, custody, or possession of any animal has knowledge that such animal has bitten any person or animal, or has been bitten by another animal, the person having charge, care, control, custody, or possession of such animal shall report said fact forthwith to the director. The report shall state the name and address of the person bitten, and description of the person or animal bitten, if any, and the time and place where such person or animal was bitten, and any other information so requested by the director. A copy of the report shall be forwarded by the director to the county health officer within forty-eight (48) hours.",,,,,,,,,,,,,,,"Retrieval error: HTTPConnectionPool(host='3.234.136.27', port=8000): Read timed out. (read timeout=60)"
6,CA,Alameda,Easy,What actions toward police dogs are prohibited?,False,0,0.0,5.08.050 - Police dogs—Interference with—Mistreatment of.,,5.08.010. Running at large prohibited.,5.08.060. Animals-Noise disturbances by.,5.08.080. Biting or attacking-Infraction.,5.20.020. Vicious dog defined.,5.08.070. Animals-Destruction of property.,"No person shall willfully or maliciously torture, torment, beat, kick, strike, mutilate, injure, disable or kill any dog used by any peace officer in the performance of the function or duties of such department, or interfere with or meddle with any such dog while being used by said department or any member thereof in the performance of any of the functions or duties of said department or of such officer or member.",,False,False,,True,False,,False,False,,False,False,,,"None of the retrieved chunks contain the exact text from the golden truth section (5.08.050). The section number is mentioned in Chunk 1, but the text does not match. The prohibitions and obligations are inferred from the text but are not explicitly stated in the retrieved chunks."
7,CA,Alameda,Easy,Can my pet urinate or defecate on someone else’s lawn?,True,1,1.0,5.08.070 - Animals—Destruction of property.,5.08.070. Animals-Destruction of property.,5.08.070. Animals-Destruction of property.,"6.65.030. Unlawful residential, commercial and industrial real property nuisances.",5.08.060. Animals-Noise disturbances by.,5.16.020. Exemptions.,6.44.030. Litter prohibited.,"It shall be unlawful for any person owning or having under his control any animals to permit the same to damage or destroy plants or property of another person or to defecate, urinate or commit a nuisance on the property of any other person.","It shall be unlawful for any person owning or having under his control any animals to permit the same to damage or destroy plants or property of another person or to defecate, urinate or commit a nuisance on the property of any other person.",False,False,True,True,False,False,False,False,True,False,False,True,0.75,"Chunk 1 contains the same section number (5.08.070) and the same text as the golden truth section (5.08.070 - Animals-Destruction of property). The text explicitly prohibits animals from causing damage, defecating, urinating, or committing a nuisance on another person's property, which matches the golden truth section."
8,CA,Alameda,Easy,When is a dog owner guilty of an infraction for a bite or attack?,True,1,1.0,5.08.080 - Biting or attacking—Infraction.,5.08.080. Biting or attacking-Infraction.,5.08.080. Biting or attacking-Infraction.,5.20.020. Vicious dog defined.,5.04.020. Violation-Penalty.,5.08.060. Animals-Noise disturbances by.,5.20.030. Investigation.,The owner of a dog which bites or attacks a person when such person is conducting himself or herself peacefully and lawfully is guilty of an infraction. This section shall not apply to the owner of a dog which is assisting a peace officer engaged in law enforcement duties. The provisions of this section are independent of and in addition to any other procedures or penalties set forth in this chapter.,The owner of a dog which bites or attacks a person when such person is conducting himself or herself peacefully and lawfully is guilty of an infraction. This section shall not apply to the owner of a dog which is assisting a peace officer engaged in law enforcement duties. The provisions of this section are independent of and in addition to any other procedures or penalties set forth in this chapter.,True,True,True,False,False,True,True,True,True,False,False,True,1.0,"Chunk 1 has the same section number (5.08.080) and the same text as the golden truth section. The text describes a monetary penalty (up to $50), imprisonment (up to 10 days), or both as possible consequences for violations. It also imposes an obligation on the dog owner to be guilty of an infraction if the dog bites or attacks a person conducting themselves peacefully and lawfully. The text does not prohibit the action but rather defines when it is considered an infraction. The text does not grant permission for the action but rather defines when it is illegal."
9,CA,Alameda,Easy,Can I leave my dog in the car while I run an errand?,True,1,0.971830985915493,5.08.090 - Animals in vehicles.,5.08.090. Animals in vehicles.,5.08.090. Animals in vehicles.,5.08.010. Running at large prohibited.,5.24.070. Dog removed from kennel-License tag must be acquired.,5.16.090. Removal of registration tags prohibited.,5.08.060. Animals-Noise disturbances by.,"A.No person, other than an individual actually working a dog for ranching purposes, shall transport or carry on any public highway or public roadway, any dog in a motor vehicle unless the dog is safely enclosed within the vehicle or protected by a cap or container, cage, cross-tether or other device to prevent the dog from falling from, being thrown from, or jumping from, the motor vehicle. As used herein, ""motor vehicle"" includes a trailer.B.No person shall leave a dog or other animal in an unattended motor vehicle without adequate ventilation or in such a manner as to subject the animal to extreme temperatures which adversely affect the animal's health.","A. No person, other than an individual actually working a dog for ranching purposes, shall transport or carry on any public highway or public roadway, any dog in a motor vehicle unless the dog is safely enclosed within the vehicle or protected by a cap or container, cage, cross-tether or other device to prevent the dog from falling from, being thrown from, or jumping from, the motor vehicle. As used herein, ""motor vehicle"" includes a trailer. B. No person shall leave a dog or other animal in an unattended motor vehicle without adequate ventilation or in such a manner as to subject the animal to extreme temperatures which adversely affect the animal's health. Article II - Spay and Neuter of Dogs and Cats",False,False,True,True,False,False,False,False,True,False,False,True,0.75,"Chunk 1 contains the same section number (5.08.090) and the same text as the golden truth section, confirming the prohibition against leaving a dog in an unattended motor vehicle without proper enclosure or ventilation."
